Region,Country,Item Type,Sales Channel,Order Priority,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,South Africa,Beverages,Online,H,619287574,9810,47.45,31.79,465484.5,311859.9,153624.6
Central America and the Caribbean,Saint Vincent and the Grenadines,Clothes,Offline,H,394391000,7916,109.28,35.84,865060.48,283709.44,581351.04
Sub-Saharan Africa,Sudan,Beverages,Online,M,584296977,5315,47.45,31.79,252196.75,168963.85,83232.9
Middle East and North Africa,Algeria,Clothes,Offline,M,806241834,3730,109.28,35.84,407614.4,133683.2,273931.2
Europe,Netherlands,Meat,Offline,M,747774398,1916,421.89,364.69,808341.24,698746.04,109595.2
Central America and the Caribbean,Panama,Meat,Online,H,616755998,660,421.89,364.69,278447.4,240695.4,37752
Australia and Oceania,Solomon Islands,Baby Food,Offline,C,691360461,7779,255.28,159.42,1985823.12,1240128.18,745694.94
Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages,Online,C,870074117,3121,47.45,31.79,148091.45,99216.59,48874.86
Middle East and North Africa,Iran,Office Supplies,Online,H,221695792,3566,651.21,524.96,2322214.86,1872007.36,450207.5
Australia and Oceania,Vanuatu,Fruits,Online,M,135336816,8026,9.33,6.92,74882.58,55539.92,19342.66
Australia and Oceania,Federated States of Micronesia,Office Supplies,Online,L,270421016,2443,651.21,524.96,1590906.03,1282477.28,308428.75
Sub-Saharan Africa,Equatorial Guinea,Household,Online,H,806684720,4790,668.27,502.54,3201013.3,2407166.6,793846.7
Europe,Russia,Household,Online,M,194176757,72,668.27,502.54,48115.44,36182.88,11932.56
Middle East and North Africa,Azerbaijan,Baby Food,Offline,H,103258454,5326,255.28,159.42,1359621.28,849070.92,510550.36
Middle East and North Africa,Iraq,Office Supplies,Online,H,474603641,4619,651.21,524.96,3007938.99,2424790.24,583148.75
Sub-Saharan Africa,Mauritius,Cereal,Online,H,869198644,4049,205.7,117.11,832879.3,474178.39,358700.91
Sub-Saharan Africa,Eritrea,Household,Online,H,918342292,6747,668.27,502.54,4508817.69,3390637.38,1118180.31
Europe,Ukraine,Cosmetics,Online,H,773645913,7873,437.2,263.33,3442075.6,2073197.09,1368878.51
Asia,Myanmar,Cosmetics,Online,C,657033336,9620,437.2,263.33,4205864,2533234.6,1672629.4
Europe,Bosnia and Herzegovina,Meat,Online,H,410740888,6211,421.89,364.69,2620358.79,2265089.59,355269.2
Europe,Latvia,Meat,Offline,M,847317397,8902,421.89,364.69,3755664.78,3246470.38,509194.4
Europe,Serbia,Beverages,Online,L,599624192,978,47.45,31.79,46406.1,31090.62,15315.48
Asia,Mongolia,Beverages,Offline,H,170835101,2758,47.45,31.79,130867.1,87676.82,43190.28
Central America and the Caribbean,Grenada,Cereal,Online,H,584436452,6588,205.7,117.11,1355151.6,771520.68,583630.92
Sub-Saharan Africa,Namibia,Office Supplies,Online,H,234227073,1851,651.21,524.96,1205389.71,971700.96,233688.75
Europe,Portugal,Office Supplies,Online,M,734318292,9956,651.21,524.96,6483446.76,5226501.76,1256945
Central America and the Caribbean,Barbados,Snacks,Online,H,169133937,9345,152.58,97.44,1425860.1,910576.8,515283.3
Asia,Sri Lanka,Cereal,Online,C,743410336,494,205.7,117.11,101615.8,57852.34,43763.46
Europe,Poland,Household,Offline,L,232196319,905,668.27,502.54,604784.35,454798.7,149985.65
Sub-Saharan Africa,Senegal,Beverages,Offline,L,530853211,117,47.45,31.79,5551.65,3719.43,1832.22
Australia and Oceania,Kiribati,Fruits,Online,L,905054843,4695,9.33,6.92,43804.35,32489.4,11314.95
Middle East and North Africa,Somalia,Household,Offline,C,240787541,3239,668.27,502.54,2164526.53,1627727.06,536799.47
Sub-Saharan Africa,Burundi,Meat,Online,L,194350135,1379,421.89,364.69,581786.31,502907.51,78878.8
Asia,Malaysia,Household,Online,L,242353951,6775,668.27,502.54,4527529.25,3404708.5,1122820.75
Central America and the Caribbean,Haiti,Vegetables,Offline,C,831722819,4120,154.06,90.93,634727.2,374631.6,260095.6
Europe,Liechtenstein,Cosmetics,Online,L,229693067,138,437.2,263.33,60333.6,36339.54,23994.06
Sub-Saharan Africa,Zambia,Cereal,Offline,H,373813521,8583,205.7,117.11,1765523.1,1005155.13,760367.97
Europe,United Kingdom,Beverages,Online,C,121945512,5242,47.45,31.79,248732.9,166643.18,82089.72
Australia and Oceania,Vanuatu,Fruits,Offline,L,202262866,2932,9.33,6.92,27355.56,20289.44,7066.12
Australia and Oceania,Tuvalu,Personal Care,Offline,M,963251912,6501,81.73,56.67,531326.73,368411.67,162915.06
Central America and the Caribbean,Antigua and Barbuda,Household,Online,M,123711478,7830,668.27,502.54,5232554.1,3934888.2,1297665.9
Central America and the Caribbean,Haiti,Clothes,Offline,L,422752892,830,109.28,35.84,90702.4,29747.2,60955.2
Europe,Slovenia,Fruits,Online,H,169799983,6443,9.33,6.92,60113.19,44585.56,15527.63
Europe,Malta,Vegetables,Online,M,894589078,7643,154.06,90.93,1177480.58,694977.99,482502.59
Asia,Bhutan,Office Supplies,Offline,M,597169005,4434,651.21,524.96,2887465.14,2327672.64,559792.5
Sub-Saharan Africa,Eritrea,Office Supplies,Offline,H,497901093,8853,651.21,524.96,5765162.13,4647470.88,1117691.25
Europe,Ukraine,Personal Care,Online,M,987459170,9967,81.73,56.67,814602.91,564829.89,249773.02
Asia,Singapore,Personal Care,Offline,M,276829564,8875,81.73,56.67,725353.75,502946.25,222407.5
Sub-Saharan Africa,Cameroon,Household,Offline,H,247311103,3706,668.27,502.54,2476608.62,1862413.24,614195.38
Europe,Cyprus,Fruits,Offline,M,600515115,4622,9.33,6.92,43123.26,31984.24,11139.02
Europe,Poland,Office Supplies,Offline,M,208365428,8815,651.21,524.96,5740416.15,4627522.4,1112893.75
Europe,Monaco,Personal Care,Online,L,263098371,5509,81.73,56.67,450250.57,312195.03,138055.54
Australia and Oceania,Vanuatu,Office Supplies,Online,L,227262771,959,651.21,524.96,624510.39,503436.64,121073.75
Sub-Saharan Africa,Gabon,Office Supplies,Offline,H,983719956,3450,651.21,524.96,2246674.5,1811112,435562.5
Sub-Saharan Africa,Djibouti,Baby Food,Offline,H,785643756,8301,255.28,159.42,2119079.28,1323345.42,795733.86
Sub-Saharan Africa,Namibia,Office Supplies,Online,C,206520497,2859,651.21,524.96,1861809.39,1500860.64,360948.75
Europe,Estonia,Cosmetics,Online,C,790149009,1505,437.2,263.33,657986,396311.65,261674.35
Europe,Norway,Cereal,Online,M,100640618,650,205.7,117.11,133705,76121.5,57583.5
Sub-Saharan Africa,Ethiopia,Personal Care,Online,L,272419154,3736,81.73,56.67,305343.28,211719.12,93624.16
Sub-Saharan Africa,Burundi,Meat,Offline,M,360220944,6237,421.89,364.69,2631327.93,2274571.53,356756.4
Asia,Thailand,Beverages,Offline,C,389094817,658,47.45,31.79,31222.1,20917.82,10304.28
Sub-Saharan Africa,Mauritius,Meat,Offline,L,904402101,1534,421.89,364.69,647179.26,559434.46,87744.8
Sub-Saharan Africa,Uganda,Vegetables,Online,H,721816623,434,154.06,90.93,66862.04,39463.62,27398.42
Europe,Luxembourg,Snacks,Online,H,977324712,955,152.58,97.44,145713.9,93055.2,52658.7
Sub-Saharan Africa,The Gambia,Beverages,Online,C,177225196,3729,47.45,31.79,176941.05,118544.91,58396.14
Middle East and North Africa,United Arab Emirates,Beverages,Online,M,948129403,1415,47.45,31.79,67141.75,44982.85,22158.9
Central America and the Caribbean,Haiti,Meat,Offline,M,586961162,3706,421.89,364.69,1563524.34,1351541.14,211983.2
Europe,Luxembourg,Snacks,Online,H,510956799,2326,152.58,97.44,354901.08,226645.44,128255.64
Central America and the Caribbean,Saint Lucia,Meat,Online,L,407665145,6030,421.89,364.69,2543996.7,2199080.7,344916
Middle East and North Africa,Iraq,Meat,Online,C,484947526,5604,421.89,364.69,2364271.56,2043722.76,320548.8
Europe,Armenia,Fruits,Online,M,120977771,8866,9.33,6.92,82719.78,61352.72,21367.06
Asia,Singapore,Personal Care,Offline,M,114242208,5663,81.73,56.67,462836.99,320922.21,141914.78
Middle East and North Africa,Jordan,Clothes,Online,M,433539664,2876,109.28,35.84,314289.28,103075.84,211213.44
Australia and Oceania,Tonga,Meat,Online,M,667981469,9416,421.89,364.69,3972516.24,3433921.04,538595.2
Europe,Bulgaria,Snacks,Offline,L,476991450,1225,152.58,97.44,186910.5,119364,67546.5
Sub-Saharan Africa,Sudan,Office Supplies,Online,C,940305936,6277,651.21,524.96,4087645.17,3295173.92,792471.25
Sub-Saharan Africa,Mali,Baby Food,Online,H,507973754,9577,255.28,159.42,2444816.56,1526765.34,918051.22
Asia,Myanmar,Cosmetics,Online,L,850356233,8161,437.2,263.33,3567989.2,2149036.13,1418953.07
Asia,Sri Lanka,Meat,Offline,L,108127200,6096,421.89,364.69,2571841.44,2223150.24,348691.2
Middle East and North Africa,Azerbaijan,Office Supplies,Online,C,542272984,9481,651.21,524.96,6174122.01,4977145.76,1196976.25
Sub-Saharan Africa,Tanzania,Office Supplies,Offline,C,884092414,1447,651.21,524.96,942300.87,759617.12,182683.75
Sub-Saharan Africa,Swaziland,Household,Offline,C,385196816,7153,668.27,502.54,4780135.31,3594668.62,1185466.69
Asia,Myanmar,Meat,Online,L,167510020,8792,421.89,364.69,3709256.88,3206354.48,502902.4
Europe,Denmark,Beverages,Online,H,973268353,589,47.45,31.79,27948.05,18724.31,9223.74
Sub-Saharan Africa,Seychelles,Fruits,Offline,M,915020644,3797,9.33,6.92,35426.01,26275.24,9150.77
Sub-Saharan Africa,Madagascar,Cosmetics,Offline,C,425628221,1704,437.2,263.33,744988.8,448714.32,296274.48
Central America and the Caribbean,Saint Lucia,Beverages,Online,L,908264911,4626,47.45,31.79,219503.7,147060.54,72443.16
Sub-Saharan Africa,Mauritius,Cereal,Online,C,686417043,4912,205.7,117.11,1010398.4,575244.32,435154.08
Asia,Taiwan,Household,Online,H,853883445,1941,668.27,502.54,1297112.07,975430.14,321681.93
Middle East and North Africa,Morocco,Cereal,Online,C,324775445,7126,205.7,117.11,1465818.2,834525.86,631292.34
Middle East and North Africa,Jordan,Cereal,Online,C,783516871,8909,205.7,117.11,1832581.3,1043332.99,789248.31
Asia,China,Cosmetics,Offline,H,834844052,7762,437.2,263.33,3393546.4,2043967.46,1349578.94
Asia,South Korea,Snacks,Offline,H,953805816,1191,152.58,97.44,181722.78,116051.04,65671.74
North America,United States of America,Office Supplies,Online,L,335763490,8733,651.21,524.96,5687016.93,4584475.68,1102541.25
Asia,Uzbekistan,Cosmetics,Online,H,946390902,6954,437.2,263.33,3040288.8,1831196.82,1209091.98
Europe,Finland,Vegetables,Offline,L,771674382,4453,154.06,90.93,686029.18,404911.29,281117.89
Asia,Philippines,Cereal,Online,C,567912757,6860,205.7,117.11,1411102,803374.6,607727.4
Middle East and North Africa,Libya,Office Supplies,Offline,L,711717355,1836,651.21,524.96,1195621.56,963826.56,231795
Sub-Saharan Africa,South Sudan,Office Supplies,Online,L,750012004,4074,651.21,524.96,2653029.54,2138687.04,514342.5
Middle East and North Africa,Kuwait,Snacks,Online,C,750033032,297,152.58,97.44,45316.26,28939.68,16376.58
Central America and the Caribbean,Saint Lucia,Household,Offline,H,849329268,4259,668.27,502.54,2846161.93,2140317.86,705844.07
Central America and the Caribbean,Grenada,Meat,Online,M,805762040,1748,421.89,364.69,737463.72,637478.12,99985.6
Sub-Saharan Africa,Namibia,Cereal,Online,H,447505176,5581,205.7,117.11,1148011.7,653590.91,494420.79
Australia and Oceania,Solomon Islands,Beverages,Offline,L,123045003,606,47.45,31.79,28754.7,19264.74,9489.96
Asia,Philippines,Household,Offline,H,251180350,8702,668.27,502.54,5815285.54,4373103.08,1442182.46
Asia,Turkmenistan,Household,Online,M,871022546,3782,668.27,502.54,2527397.14,1900606.28,626790.86
Europe,Kosovo,Fruits,Online,L,291995418,6788,9.33,6.92,63332.04,46972.96,16359.08
Asia,Singapore,Clothes,Online,C,943835294,692,109.28,35.84,75621.76,24801.28,50820.48
Sub-Saharan Africa,South Africa,Office Supplies,Offline,L,826591002,5501,651.21,524.96,3582306.21,2887804.96,694501.25
Middle East and North Africa,Lebanon,Cosmetics,Online,M,260623872,3250,437.2,263.33,1420900,855822.5,565077.5
Australia and Oceania,Samoa,Vegetables,Online,L,536607730,3007,154.06,90.93,463258.42,273426.51,189831.91
Australia and Oceania,Samoa,Personal Care,Offline,L,765528905,5870,81.73,56.67,479755.1,332652.9,147102.2
Europe,Hungary,Baby Food,Online,M,128686225,9968,255.28,159.42,2544631.04,1589098.56,955532.48
Middle East and North Africa,Pakistan,Vegetables,Offline,L,127691018,5465,154.06,90.93,841937.9,496932.45,345005.45
Australia and Oceania,Tonga,Vegetables,Offline,C,534467113,9550,154.06,90.93,1471273,868381.5,602891.5
Australia and Oceania,Vanuatu,Personal Care,Online,H,741250836,1450,81.73,56.67,118508.5,82171.5,36337
Australia and Oceania,Vanuatu,Snacks,Online,M,210591018,7417,152.58,97.44,1131685.86,722712.48,408973.38
Central America and the Caribbean,Grenada,Vegetables,Online,C,725348985,5738,154.06,90.93,883996.28,521756.34,362239.94
Sub-Saharan Africa,Mozambique,Household,Offline,H,538698565,1731,668.27,502.54,1156775.37,869896.74,286878.63
Central America and the Caribbean,Cuba,Cereal,Offline,H,224126088,2745,205.7,117.11,564646.5,321466.95,243179.55
Middle East and North Africa,Algeria,Beverages,Online,M,425430381,3159,47.45,31.79,149894.55,100424.61,49469.94
Sub-Saharan Africa,Equatorial Guinea,Vegetables,Offline,M,506722772,9383,154.06,90.93,1445544.98,853196.19,592348.79
Sub-Saharan Africa,Uganda,Office Supplies,Offline,C,802427089,4862,651.21,524.96,3166183.02,2552355.52,613827.5
Asia,Thailand,Cosmetics,Offline,H,367279660,5068,437.2,263.33,2215729.6,1334556.44,881173.16
Middle East and North Africa,Turkey,Personal Care,Offline,H,126329314,2506,81.73,56.67,204815.38,142015.02,62800.36
Asia,Kazakhstan,Personal Care,Offline,H,624937379,1713,81.73,56.67,140003.49,97075.71,42927.78
Central America and the Caribbean,Nicaragua,Snacks,Offline,H,678777682,4255,152.58,97.44,649227.9,414607.2,234620.7
Asia,Kazakhstan,Cereal,Online,L,523836553,3732,205.7,117.11,767672.4,437054.52,330617.88
Sub-Saharan Africa,Chad,Cereal,Offline,C,466412818,772,205.7,117.11,158800.4,90408.92,68391.48
Australia and Oceania,East Timor,Fruits,Online,H,433117806,8039,9.33,6.92,75003.87,55629.88,19373.99
Europe,Lithuania,Cosmetics,Offline,L,420875346,5223,437.2,263.33,2283495.6,1375372.59,908123.01
Sub-Saharan Africa,Eritrea,Cosmetics,Online,C,946921765,4048,437.2,263.33,1769785.6,1065959.84,703825.76
Sub-Saharan Africa,Zambia,Household,Offline,H,798805892,3270,668.27,502.54,2185242.9,1643305.8,541937.1
Sub-Saharan Africa,Liberia,Household,Offline,M,184389054,3674,668.27,502.54,2455223.98,1846331.96,608892.02
Central America and the Caribbean,Saint Kitts and Nevis,Household,Offline,M,281845080,3077,668.27,502.54,2056266.79,1546315.58,509951.21
Central America and the Caribbean,Jamaica,Meat,Online,H,989660298,1330,421.89,364.69,561113.7,485037.7,76076
Europe,Albania,Vegetables,Online,C,476633536,5310,154.06,90.93,818058.6,482838.3,335220.3
Asia,Japan,Baby Food,Offline,C,131876122,3930,255.28,159.42,1003250.4,626520.6,376729.8
Sub-Saharan Africa,Equatorial Guinea,Meat,Offline,L,514811885,3132,421.89,364.69,1321359.48,1142209.08,179150.4
Asia,Myanmar,Office Supplies,Online,C,905177152,889,651.21,524.96,578925.69,466689.44,112236.25
Middle East and North Africa,Libya,Personal Care,Offline,H,653020751,2207,81.73,56.67,180378.11,125070.69,55307.42
Asia,Mongolia,Meat,Online,L,528704011,4121,421.89,364.69,1738608.69,1502887.49,235721.2
Asia,Singapore,Snacks,Offline,M,472900760,699,152.58,97.44,106653.42,68110.56,38542.86
Central America and the Caribbean,The Bahamas,Baby Food,Offline,L,946597325,8039,255.28,159.42,2052195.92,1281577.38,770618.54
Asia,Sri Lanka,Office Supplies,Offline,L,681092536,9272,651.21,524.96,6038019.12,4867429.12,1170590
Europe,Cyprus,Vegetables,Offline,C,727997720,9558,154.06,90.93,1472505.48,869108.94,603396.54
Middle East and North Africa,Afghanistan,Baby Food,Online,C,409236705,1090,255.28,159.42,278255.2,173767.8,104487.4
Europe,Moldova,Personal Care,Online,M,467045819,8092,81.73,56.67,661359.16,458573.64,202785.52
Europe,Kosovo,Cosmetics,Offline,C,813973891,1818,437.2,263.33,794829.6,478733.94,316095.66
Middle East and North Africa,Egypt,Household,Online,M,982882249,5554,668.27,502.54,3711571.58,2791107.16,920464.42
Europe,Albania,Cosmetics,Offline,L,576944720,9619,437.2,263.33,4205426.8,2532971.27,1672455.53
Asia,Singapore,Vegetables,Offline,C,619647634,6360,154.06,90.93,979821.6,578314.8,401506.8
Europe,Portugal,Baby Food,Online,L,404789817,5157,255.28,159.42,1316478.96,822128.94,494350.02
Asia,India,Snacks,Offline,M,646482598,7422,152.58,97.44,1132448.76,723199.68,409249.08
Sub-Saharan Africa,Sudan,Meat,Online,C,329149806,1597,421.89,364.69,673758.33,582409.93,91348.4
Australia and Oceania,Vanuatu,Office Supplies,Offline,M,757527768,8155,651.21,524.96,5310617.55,4281048.8,1029568.75
Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics,Online,C,606665313,4602,437.2,263.33,2011994.4,1211844.66,800149.74
Europe,Bosnia and Herzegovina,Baby Food,Online,C,871923768,474,255.28,159.42,121002.72,75565.08,45437.64
Europe,Kosovo,Vegetables,Offline,C,818976962,2337,154.06,90.93,360038.22,212503.41,147534.81
Europe,Switzerland,Cosmetics,Online,C,233811223,8792,437.2,263.33,3843862.4,2315197.36,1528665.04
Central America and the Caribbean,Cuba,Beverages,Offline,L,772725379,5466,47.45,31.79,259361.7,173764.14,85597.56
Europe,Lithuania,Office Supplies,Offline,C,112330758,22,651.21,524.96,14326.62,11549.12,2777.5
Middle East and North Africa,Lebanon,Clothes,Online,M,499551188,7153,109.28,35.84,781679.84,256363.52,525316.32
Asia,North Korea,Clothes,Online,M,201622998,3581,109.28,35.84,391331.68,128343.04,262988.64
Europe,Montenegro,Office Supplies,Offline,H,256095016,3061,651.21,524.96,1993353.81,1606902.56,386451.25
Sub-Saharan Africa,Eritrea,Fruits,Offline,M,420828568,1380,9.33,6.92,12875.4,9549.6,3325.8
Sub-Saharan Africa,Democratic Republic of the Congo,Cereal,Online,L,523997485,1355,205.7,117.11,278723.5,158684.05,120039.45
Asia,India,Office Supplies,Online,C,914088094,7835,651.21,524.96,5102230.35,4113061.6,989168.75
Sub-Saharan Africa,Republic of the Congo,Snacks,Online,M,209899222,2699,152.58,97.44,411813.42,262990.56,148822.86
Sub-Saharan Africa,Comoros,Clothes,Offline,M,250542199,9859,109.28,35.84,1077391.52,353346.56,724044.96
Europe,France,Meat,Online,L,245440852,257,421.89,364.69,108425.73,93725.33,14700.4
Sub-Saharan Africa,Rwanda,Vegetables,Online,L,824331510,6867,154.06,90.93,1057930.02,624416.31,433513.71
Sub-Saharan Africa,Malawi,Meat,Online,M,887263000,9693,421.89,364.69,4089379.77,3534940.17,554439.6
Sub-Saharan Africa,Cote Hello,Cereal,Offline,H,754596650,772,205.7,117.11,158800.4,90408.92,68391.48
Europe,Spain,Fruits,Online,H,817006289,9172,9.33,6.92,85574.76,63470.24,22104.52
Sub-Saharan Africa,Uganda,Clothes,Offline,H,185478246,5989,109.28,35.84,654477.92,214645.76,439832.16
Asia,Taiwan,Personal Care,Offline,C,741311347,9356,81.73,56.67,764665.88,530204.52,234461.36
Middle East and North Africa,Israel,Personal Care,Offline,M,386116921,9432,81.73,56.67,770877.36,534511.44,236365.92
Central America and the Caribbean,Costa Rica,Meat,Offline,L,691818797,3411,421.89,364.69,1439066.79,1243957.59,195109.2
Central America and the Caribbean,Honduras,Snacks,Online,C,150653302,515,152.58,97.44,78578.7,50181.6,28397.1
Asia,South Korea,Vegetables,Offline,M,925169265,7000,154.06,90.93,1078420,636510,441910
